,baseline:col,baseline:col+,baseline:col-,baseline:eff,baseline:eff+,baseline:eff-,emotions(mod):col,emotions(mod):col+,emotions(mod):col-,emotions(mod):eff,emotions(mod):eff+,emotions(mod):eff-,emotions(mod+comm):col,emotions(mod+comm):col+,emotions(mod+comm):col-,emotions(mod+comm):eff,emotions(mod+comm):eff+,emotions(mod+comm):eff-,number
0,0.0,0.0,0.0,0.9932694399499624,0.993643660196105,0.9928952197038199,0.0,0.0,0.0,0.99326944,0.9936436600559999,0.992895219944,0.0,0.0,0.0,0.9935635223532236,0.9939874292159468,0.9931396154905004,1
1,0.0041592457900967925,0.005228362013543739,0.003090129566649846,0.9258694635061373,0.9320472693653434,0.9196916576469312,0.0032905910326086955,0.004233956213400136,0.0023472258518172553,0.9233307290000001,0.9278035689520001,0.9188578890480001,0.0032291745153547723,0.0043049286079720195,0.0021534204227375256,0.9339304324904936,0.9373290014094354,0.9305318635715517,10
2,0.010799691437387684,0.011766503449287202,0.009832879425488165,0.8933165378850545,0.8977854634781721,0.8888476122919369,0.012244523126843055,0.013787200764017427,0.010701845489668684,0.8890272359999999,0.8945640176559999,0.8834904543439999,0.008147143601140735,0.009382629477532078,0.006911657724749392,0.8956855644925177,0.9010854116603015,0.8902857173247338,20
3,0.015865598817687166,0.017194281581950764,0.014536916053423566,0.7460801987473277,0.7838909749647098,0.7082694225299455,0.017203976902661212,0.018278719925583893,0.016129233879738532,0.857011262,0.864316320376,0.849706203624,0.010916884781796041,0.012171863965903976,0.009661905597688106,0.8696105540058301,0.8738185827433369,0.8654025252683233,30
4,0.02164791871555722,0.022946588664725643,0.020349248766388797,0.6080253676247807,0.6609521894810675,0.5550985457684938,0.022868855181313964,0.02424673166266541,0.02149097869996252,0.8292393709999999,0.8355901845599999,0.8228885574399999,0.011440035347082296,0.012886911807942356,0.009993158886222236,0.8321436646291842,0.8387665981851236,0.8255207310732449,40
5,0.025273215271803127,0.026880787355840645,0.02366564318776561,0.47306370555280625,0.5273739999181625,0.41875341118744996,0.024941814649879965,0.02643501460454854,0.02344861469521139,0.801240696,0.808096267968,0.794385124032,0.01184945196284696,0.01311875336613694,0.01058015055955698,0.8167009475317875,0.8244543154757431,0.8089475795878318,50
6,0.038253524550316734,0.04026051396381163,0.036246535136821835,0.23651838879158554,0.26115055399035286,0.21188622359281825,0.029225847804894737,0.030545626296580544,0.02790606931320893,0.762642968,0.772911891728,0.7523740442719999,0.01266072420546832,0.01376466406216486,0.01155678434877178,0.7884802453560468,0.7977316082823424,0.7792288824297512,60
7,0.048058821548719446,0.049890450469970274,0.04622719262746862,0.1668837694553585,0.1828353251511169,0.1509322137596001,0.03222872786859787,0.03404178113790971,0.030415674599286038,0.7241974840000001,0.7377775694,0.7106173986000001,0.014271289957149517,0.015379832570516196,0.013162747343782838,0.7551945954960472,0.7689813816428074,0.741407809349287,70
8,0.0625131653568837,0.06481857215753924,0.060207758556228154,0.11196059566910128,0.12083824572772806,0.10308294561047451,0.035213106805206375,0.036994398074642325,0.033431815535770425,0.6953532440000001,0.7066551582880001,0.6840513297120001,0.013960221096933735,0.014874515377917943,0.013045926815949528,0.7233877080987092,0.7374143937931881,0.7093610224042304,80
9,0.08504782781245881,0.08817213258961834,0.08192352303529929,0.06537596202639842,0.07032377124541368,0.06042815280738316,0.03828385910688486,0.03964535825245,0.03692235996131972,0.6613393670000001,0.67271097144,0.6499677625600001,0.015622266857270799,0.016698165062233167,0.01454636865230843,0.6834593591836611,0.7001338786791595,0.6667848396881626,90
10,0.1005313688549435,0.10354336046056048,0.09751937724932652,0.04595941224596783,0.04942123933664463,0.04249758515529103,0.039444429273817215,0.04105786318856723,0.0378309953590672,0.637502799,0.6484192647839999,0.626586333216,0.01691416502489004,0.018401653476687967,0.015426676573092112,0.6503204430880257,0.6665464991715884,0.6340943870044631,100
11,0.12921013106187132,0.1316697309496705,0.12675053117407215,0.03367418064601349,0.036253076862333054,0.031095284429693927,0.042389526755586944,0.044079566063520204,0.040699487447653684,0.592400899,0.604858018864,0.579943779136,0.01877476356256046,0.020490450819734773,0.017059076305386146,0.6106857472545437,0.6287357089465516,0.5926357855625358,110
12,0.16984154913273744,0.17341577658197518,0.1662673216834997,0.02200283177561303,0.023957438275336234,0.020048225275889824,0.04561346866320733,0.048109478440194184,0.04311745888622047,0.553925318,0.569314222328,0.538536413672,0.020700219052771487,0.022120435434900856,0.01928000267064212,0.5723165890365138,0.5899088229258288,0.5547243551471989,120
13,0.21726417360248587,0.22253858000197668,0.21198976720299506,0.014405775865284638,0.01586877525170275,0.012942776478866524,0.048393307875462595,0.0510613754598197,0.04572524029110549,0.502025013,0.52110439976,0.48294562624000004,0.02334446976173607,0.02532050630483188,0.021368433218640258,0.520483996789218,0.5395124679293225,0.5014555256491134,130
14,0.21375230635603917,0.21756395686232483,0.20994065584975352,0.012581622085808259,0.013590796288649624,0.011572447882966894,0.046936769305915414,0.04979608896163096,0.04407744965019987,0.48363886700000003,0.501539828064,0.465737905936,0.021905498822909097,0.02354549531710263,0.020265502328715566,0.5138911386678123,0.5299720296150506,0.49781024772057403,140
15,0.22106536435370952,0.2261689807259001,0.21596174798151893,0.008788869256387681,0.009611743727578576,0.007965994785196787,0.04560966220335818,0.048822339985213285,0.042396984421503074,0.466713945,0.486983094096,0.44644479590400005,0.021110752527138888,0.023055492197831887,0.01916601285644589,0.4740557750834448,0.4936471445420197,0.45446440562486995,150
16,0.27476059294241734,0.28107457308403405,0.2684466128008006,0.005572030292342356,0.006046790576075139,0.005097270008609572,0.04647014504463304,0.04921121381796626,0.043729076271299815,0.43367796700000005,0.45011917141600005,0.41723676258400005,0.01965607560255821,0.02182863923485427,0.017483511970262152,0.4807560119276366,0.5012111308711064,0.46030089298416693,160
17,0.2880868196247516,0.29546939330990923,0.2807042459395939,0.005029475848036742,0.005531112761122843,0.0045278389349506405,0.0463461108346693,0.049670888099004405,0.0430213335703342,0.440670812,0.458591263304,0.422750360696,0.02018487083666135,0.022348397704914907,0.01802134396840779,0.465511458746444,0.48583538385204145,0.44518753364084657,170
18,0.3506059369653841,0.3566401916960048,0.3445716822347634,0.0035245373765282924,0.0038195430243263303,0.0032295317287302544,0.04701005693276157,0.05025448380879529,0.04376563005672785,0.419898051,0.437056784368,0.402739317632,0.022203758196584985,0.024022518007499744,0.020384998385670226,0.4296972413110198,0.44687195789328304,0.4125225247287565,180
19,0.36237071581000757,0.36847984120412913,0.356261590415886,0.003415715877784206,0.0037442136258672284,0.003087218129701184,0.04812568720489583,0.050562242557094614,0.045689131852697046,0.39362954200000005,0.40661105006400006,0.38064803393600005,0.023381133009245145,0.025579706170992318,0.02118255984749797,0.41144298483636305,0.4330482278814489,0.38983774179127717,190
20,0.41938681843217446,0.42855358614424965,0.41022005072009926,0.00255234546780193,0.0028951402888546113,0.002209550646749249,0.04812568720489583,0.050562242557094614,0.045689131852697046,0.39362954200000005,0.40661105006400006,0.38064803393600005,0.0239578204206277,0.02607542211473774,0.02184021872651766,0.3995126669295819,0.4173899388090504,0.38163539505011346,200
